Quality Supplement Mfg,,,,,,,,,,
Inventory Availability,,,,,,,,,,
  ,,,,,,,,,,
Part,Description,UOM,"On
Hand",Allocated,"Not
Available","Drop
Ship",Available,"On
Order",Committed,Short
BG323,Nitric Shock Pre Workout Powder (Honeydew Watermelon) - Bulk Powder - Vox,kg,0.00,"2,385.00",0.00,0.00,0.00,"2,385.00",0.00,"2,385.00"
BG324,Fulvic & Humic Acids - Bulk - Enrich LLC,cap,0.00,"335,500.00",0.00,0.00,0.00,"336,000.00",0.00,"335,500.00"
BG329,LysinC Drink Mix (Orange) - Bulk Powder - Dr. Rath International Inc.,kg,598.55,0.00,0.00,0.00,598.55,0.00,0.00,0.00
BG338,VitacorPlus / Cardio Multivitamin - Bulk - Dr. Rath International,cap,0.00,"800,800.00",0.00,0.00,0.00,"801,000.00",0.00,"800,800.00"
BG340,Keto Coffee Creamer Powder (Chocolate) - Bulk - Priority Unlimited,kg,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
BG342,NatureGenX Sea Moss + Elderberry + Fulvic Minerals - Bulk - TC Best,cap,0.00,"335,500.00",0.00,0.00,0.00,"336,000.00",0.00,"335,500.00"
BG349,Prenat DHA - Bulk - V-Brilliance Healthcare Co. LTD,cap,0.00,"391,437.00",0.00,0.00,0.00,"392,000.00",0.00,"391,437.00"
BG350,Turmeric w/ BioPerine (Made with Organic) - Bulk - Vox Nutrition,cap,"40,156.00","41,250,000.00",0.00,0.00,0.00,"41,250,000.00",0.00,"41,209,844.00"
BG351,Turmeric w/ Ginger (Made with Organic) - Bulk - Vox Nutrition,cap,688.00,"5,500,000.00",0.00,0.00,0.00,"5,500,000.00",0.00,"5,499,312.00"
BG356,Citrus Bergamot - Bulk - Gorilla Mind LLC,cap,0.00,"335,500.00",0.00,0.00,0.00,"336,000.00",0.00,"335,500.00"
BG357,Astragalus Root Extract 750 mg - Bulk - Gorilla Mind LLC,cap,0.00,"500,500.00",0.00,0.00,0.00,"501,000.00",0.00,"500,500.00"
BG358,Curcumin C3 Complex® - Bulk - Gorilla Mind LLC,cap,0.00,"335,500.00",0.00,0.00,0.00,"336,000.00",0.00,"335,500.00"
BG359,VitaGlu Immune Plus Capsule - Bulk - Pharmzens,cap,0.00,"381,150.00",0.00,0.00,0.00,"383,000.00",0.00,"381,150.00"
BG367,Silagen Bruise Supplement - Bulk - Tru Body Wellness,cap,0.00,"877,800.00",0.00,0.00,0.00,"878,000.00",0.00,"877,800.00"
BG387,K2D3 - Bulk - Vox Nutrition,cap,0.00,"2,932,331.00",0.00,0.00,0.00,"2,933,000.00",0.00,"2,932,331.00"
BG391,Pet Joint w/ Turmeric (Maple Bacon) - Bulk - Vox Nutrition,tab,254.00,"2,200,000.00",0.00,0.00,0.00,"2,200,000.00",0.00,"2,199,746.00"
BG392,White Kidney Bean - Bulk - Vox Nutrition,cap,0.00,"2,635,136.00",0.00,0.00,0.00,"2,636,000.00",0.00,"2,635,136.00"
BG400,"Phytobiologicals Basic Formula - Bulk - Dr. Rath International, Inc.",cap,0.00,"979,965.00",0.00,0.00,0.00,"980,000.00",0.00,"979,965.00"
BG402,L-Arginine No Blast - Bulk - Vox Nutrition,cap,0.00,"4,583,275.00",0.00,0.00,0.00,"4,584,000.00",0.00,"4,583,275.00"
BG403,Peptan Collagen Tablet - Bulk - Iltervet LLC,tab,0.00,"10,000.00",0.00,0.00,0.00,"10,000.00",0.00,"10,000.00"
BG404,Prebiotic (Unflavored) - Bulk Powder - Goodness Lover LLC,kg,0.00,709.50,0.00,0.00,0.00,710.00,0.00,709.50
